A;B;C;Clase ;Nombre;;
568;151;547;hidrocarburo;Pentane, 3,3-dimethyl-;1;
521;37;92;hidrocarburo;Hexane, 3-methyl-;1;
363;23;63;hidrocarburo;Butano, 2,2,3-trimetil-;1;
345;26;28;hidrocarburo;Pentane, 2,2-dimethyl-;1;
681;77;228;hidrocarburo;Pentano, 3-etil-;1;
0.313191;0.436412;0.686809;hidrocarburo;etano ;1;
0.753801;0.864505;361062;hidrocarburo;Pentane, 2,2,4-trimethyl-;1;
2047;45;61;hidrocarburo;Heptane, 2-methyl-;1;
0.123022;0.297214;0.472458;hidrocarburo;Heptano, 3-metil-;1;
821;64;133;hidrocarburo;Pentane, 2,3,4-trimethyl-;1;
2259;30;49;hidrocarburo;Heptano, 4-metil-;1;
2779;33;113;hidrocarburo;Hexane, 2,3-dimethyl-;1;
326;67;141;hidrocarburo;Hexane, 2,5-dimethyl-;1;
380;58;160;hidrocarburo;Hexane, 2,4-dimethyl-;1;
2808;19;44;hidrocarburo;Hexane, 3,4-dimethyl-;1;
205;500;68;hidrocarburo;Hexane, 2,2-dimethyl-;1;
2533;20;75;hidrocarburo;Hexane, 3,3-dimethyl-;1;
647;581;327;hidrocarburo;Pentane, 2,3,3-trimethyl-;1;
3083;211;141;hidrocarburo;Pentane, 3-ethyl-2-methyl-;1;
2740;37;45;hidrocarburo;Hexano, 3-etil-;1;
579;50;186;hidrocarburo;Pentane, 2,2,3-trimethyl-;1;
4049;189;730;hidrocarburo;Pentane, 3-ethyl-3-methyl-;1;
5167;26;51;hidrocarburo;Butane, 2,2,3,3-tetramethyl-;1;
0.8477;0.8631;0.8558;hidrocarburo;Benzene;1;
1427;104;118;hidrocarburo;2,4-Hexadiyne;1;
159;19;26;hidrocarburo;1,5-hexadiyne;1;
572820;505805;191779;hidrocarburo;acetileno;1;
0.0858;0.8236;0.664;hidrocarburo;Butano, 2,3-dimetil-;1;
0.1196;0.8118;0.8217;hidrocarburo;Pentane, 2-methyl-;1;
0.0672;0.64;0.446;hidrocarburo;Pentane, 3-methyl-;1;
1950;31;41;hidrocarburo;Butane, 2,2-dimethyl-;1;
0.4049;0.847;0.8588;hidrocarburo;Isobutane;1;
0.1242;0.8604;0.8254;hidrocarburo;Butano;1;
0.0543;0.8802;0.8745;hidrocarburo;Propane;1;
0.5262;0.8441;0.7803;hidrocarburo;Butano, 2-metil-;1;
0.6679;0.836;0.841;hidrocarburo;Pentane;1;
2191;16;52;hidrocarburo;Neopentane;1;
0.7915;0.979;1.001;hidrocarburo;metano;1;
0.0735;0.954;0.864;hidrocarburo;Nonane;1;
786689;875717;213311;hidrocarburo;Hexane, 2,2,5-trimethyl-;1;
2373;53;152;hidrocarburo;Octano, 3-metil-;1;
2143;36;90;hidrocarburo;Octane, 4-methyl-;1;
1706;39;94;hidrocarburo;Heptane, 2,4-dimethyl-;1;
341;8;22;hidrocarburo;Heptane, 2,2-dimethyl-;1;
3232;137;176;hidrocarburo;Pentane, 2,2,4,4-tetramethyl-;1;
4388;107;109;hidrocarburo;Pentane, 3,3-diethyl-;1;
2023;33;82;hidrocarburo;Hexane, 2,3,5-trimethyl-;1;
365;45;119;hidrocarburo;Hexane, 2,2,4-trimethyl-;1;
1429;59;131;hidrocarburo;Heptano, 2,6-dimetil-;1;
504;19;207;hidrocarburo;Heptane, 3,3-dimethyl-;1;
0.3766;0.2837;0.8952;cetona;Acetone;2;
731011;376189;437690;cetona;Propanal;2;
144653;747326;411558;cetona;2-propen-1-ol;2;
0.0377;0.8508;0.6757;cetona;àxido de propileno;2;
4268;107;5394;cetona;àxido de trimetileno;2;
0.2397;0.8002;0.1967;cetona;Ethene, methoxy-;2;
0.8594;0.8006;0.563;cetona;Benzophenone;2;
239716;95024;779310;cetona;Acetophenone;2;
758658;890054;228110;cetona;Benzaldehyde, 4-methyl-;2;
2057;96;4277;cetona;Benzofuran, 2,3-dihydro-;2;
558;501;144;cetona;Benzaldehyde, 3-methyl-;2;
793;121;336;cetona;Phthalan;2;
0.5138;0.8965;0.753;cetona;Oxirano, fenil-;2;
106;225;648;cetona;Benceno, (eteniloxi) -;2;
805591;150725;254339;cetona;2-Butanone;2;
1101;704;349;cetona;Butanal;2;
0.0304;0.8759;0.7773;cetona;Tetrahidrofurano;2;
3029;51;3920;cetona;3-Buten-1-ol;2;
4551;83;611;cetona;Oxirano, etil-;2;
632361;630389;357060;cetona;Eteno, etoxi;2;
561;146;424;cetona;Cyclobutanol;2;
3251;626;9455;cetona;2-Buten-1-ol;2;
4183;134;5108;cetona;3-Buten-2-ol;2;
187009;329554;730464;cetona;1-propeno, 3-metoxi-;2;
766790;198666;218766;cetona;Cyclopropyl carbinol;2;
439;621;842;cetona;Butanal, 3-metil-;2;
442398;2715;564040;cetona;2-Pentanone;2;
840523;476628;465067;cetona;Pentanal;2;
5164;2159;454;cetona;Butanal, 2-methyl-;2;
7447;71;8200;cetona;1-penten-3-ol;2;
511264;793484;874879;cetona;3-Pentanone;2;
1703;152;2604;cetona;3-Buten-1-ol, 3-methyl-;2;
6996;6232;916;cetona;3-Hexanone;2;
719;645;508;cetona;Hexanal;2;
301365;632274;288018;cetona;Methyl Isobutyl Ketone;2;
1317;1030;511;cetona;2-Pentanone, 3-methyl-;2;
464;9;796;cetona;Oxepane;2;
5426;57;350;cetona;Oxirane, butyl-;2;
0.8798;0.6207;0.7498;cetona;Testosterona;2;
0.441;0.6967;0.8346;cetona;alcanfor ;2;
128;469;612;cetona;3,4-Hexanedione;2;
993024;536766;275040;cetona;2-Oxepanone;2;
3368;312;2417;cetona;Oxirane, [(2-propenyloxy)methyl]-;2;
779;75;643;cetona;2-Hydroxyfluorene;2;
80;52;94;cetona;9H-xanteno;2;
0.5615;0.2808;0.7194;cetona;2-hexanona;2;
5856;77;667;cetona;Furan, tetrahydro-2,5-dimethyl-;2;
559474;36526;706737;cetona;Methyl vinyl ketone;2;
152716;172652;704683;cetona;Ciclobutanona;2;
1153;2015;1176;cetona;Methyl acetoacetate;2;
384001;942149;502307;alcohol;Methyl Alcohol;3;
188944;63460;625700;alcohol;Ethanol;3;
119353;727177;419179;alcohol;1-propanol;3;
722985;640662;157394;alcohol;Isopropyl Alcohol;3;
196640;974540;617500;alcohol;1-Butanol;3;
2601;379204;945521;alcohol;1-propanol, 2-metil-;3;
347826;347826;347826;alcohol;2-Butanol;3;
378522;939274;500833;alcohol;2-propanol, 2-metil-;3;
